course,skills_taught,skills_in_market,score
3D - 3D Animation — Covers fundamentals of 3D,"animating 3d models, creating game-ready assets, rigging 3d models, texturing 3d models, using 3d modeling software, using scripting languages for animation","animating 3d models, rigging 3d models, texturing 3d models, using 3d modeling software",65
Info2 - Information Management 2 — Covers advanc,"implementing database security, managing database concurrency, normalizing databases, performing olap operations, using nosql databases","implementing database security, managing database concurrency, normalizing databases, using nosql databases",64
HCI - Human-Computer Interaction — Covers UX/U,"applying ux principles, conducting usability testing, designing user interfaces, prototyping guis, using ides","conducting usability testing, designing user interfaces, prototyping guis",64
CloudApp - Cloud-Based Application Development — Fo,"deploying cloud-integrated applications, designing cloud-integrated applications, implementing cloud services, managing cloud resources, using mobile technologies, using web technologies","deploying cloud-integrated applications, designing cloud-integrated applications, implementing cloud services, using mobile technologies, using web technologies",64
PYTHON - Introduction to Python — Basics of Pytho,"controlling program flow with python, defining python functions, developing data-driven applications with python, developing web applications with python, using python variables, utilizing python libraries","developing web applications with python, using python variables, utilizing python libraries",63
SofEng - Software Engineering — Covers the full s,"applying uml, defining software requirements, maintaining software, managing software projects, modeling software, performing quality assurance, testing software","defining software requirements, maintaining software, managing software projects, modeling software, testing software",62
GAMEAI - AI for Games — Applies AI to NPCs and ga,"applying machine learning models, building decision-making systems, implementing pathfinding algorithms, integrating ai into gameplay, scripting ai behaviors, using procedural content generation, working with game engines","applying machine learning models, integrating ai into gameplay, scripting ai behaviors",62
InfoAs - Information Assurance and Security — Dis,"analyzing vulnerabilities, applying security controls, conducting security assessments, developing security policies, handling security incidents, implementing cryptographic protocols, managing risk","handling security incidents, implementing cryptographic protocols, managing risk",61
ADA - Analysis and Design of Algorithms — Focu,"analyzing algorithm complexity, applying divide and conquer strategies, applying dynamic programming, applying greedy algorithms, designing algorithms, solving problems algorithmically","analyzing algorithm complexity, designing algorithms, solving problems algorithmically",60
OOPro - Object-Oriented Programming — Introduces,"applying object-oriented programming principles, applying polymorphism, designing systems, implementing encapsulation, using composition, using inheritance, using java, writing classes","applying object-oriented programming principles, designing systems, using java",59
THESIS 2 - Thesis 2 — Students develop and deploy t,"deploying ai systems, managing live deployments, performing qa testing, using data-driven systems, writing documentation","deploying ai systems, managing live deployments, performing qa testing",59
Internship - Internship — 324-hour industry immersion,"applying ai algorithms, building portfolios, developing games, performing data analysis, reflecting on ethical implications","applying ai algorithms, performing data analysis",59
BIVIS - Business Intelligence and Visualization,"communicating data insights, creating dashboards, mining data, performing data warehousing, using power bi, using tableau, visualizing data","communicating data insights, mining data, visualizing data",55
"CSSAC - CS Trends, Seminars and Certifications —","applying robotics principles, participating in seminars, preparing for certifications, prototyping projects, researching current computing trends, using ai-related tools","prototyping projects, using ai-related tools",53
DatMine - Data Mining and Predictive Analytics usi,"applying association rules, building predictive models, classifying data, clustering data, preprocessing data, using r",classifying data,52
CompF - Computing Fundamentals — Overview of the,"analyzing hardware trends, analyzing software trends, developing ict exhibits, implementing security measures, researching computing applications, understanding computer system components",researching computing applications,51
OS - Operating Systems — Teaches concepts lik,"implementing security protocols, implementing virtual memory, managing memory, managing processes, synchronizing processes, using file systems","implementing security protocols, using file systems",51
GameTech - Game Technologies — Explores APIs for VR,"applying game physics, developing ar applications, developing cross-platform games, developing vr applications, implementing 3d graphics, integrating game audio, using game development apis, using motion sensor apis","implementing 3d graphics, using game development apis",51
NETW1 - CCNA: Introduction to Networks — Teaches,"configuring cisco devices, implementing tcp/ip, performing subnetting, troubleshooting networks, using cisco ios","troubleshooting networks, using cisco ios",49
GameProg1 - Intro to Game Design and Development — C,"creating interactive narratives, designing game mechanics, developing gameplay loops, planning game economies, prototyping game levels, using game engines",prototyping game levels,49
LITEP - Living in IT Era — Teaches flow-charting,"analyzing problems logically, designing structured solutions, flowcharting, pseudocoding","analyzing problems logically, designing structured solutions",48
Techno - Technopreneurship — Combines tech innova,"building a minimum viable product, conducting market research, developing a business model, managing a project, pitching a startup idea",building a minimum viable product,48
DStruc - Data Structures and Algorithms — Covers,"analyzing time and space complexity, applying hash maps and sets, implementing stacks and queues, performing sorting and searching algorithms, using trees and graphs",performing sorting and searching algorithms,47
ProLag - Programming Languages — Comparative stud,"applying semantic rules, comparing programming paradigms, implementing syntax, managing memory, using control structures",comparing programming paradigms,47
CompOrg - Computer Organization with Microcontroll,"interfacing peripherals, managing memory, programming microcontrollers, reading assembly language, understanding cpu architecture, writing assembly language",programming microcontrollers,46
SocPro - Social Issues and Professional Practice,"analyzing security risks, applying ethical frameworks to computing, evaluating societal impacts of technology, implementing security best practices, interpreting legal regulations related to technology",analyzing security risks,45
Methods - Research Methods and Writing 101 — Prepa,"conducting qualitative research, conducting quantitative research, defending research proposals, performing literature reviews, writing research proposals",,44
GameProg 2 - Advanced Game Design and Development — U,"designing 2d games, developing game interactivity, implementing game audio, scripting with c#, using unity, using unreal",scripting with c#,44
Automata - Automata Theory and Formal Languages — I,"analyzing computational complexity, applying formal language theory, constructing context-free grammars, designing finite automata, using turing machines",,43
2D - 2D Animation — Covers digital 2D animati,"animating sprites, applying timing principles in animation, generating assets programmatically, implementing movement arcs, using sprite sheets",,31
"Math3DS - Discrete Structures — Covers logic, sets","analyzing relations, applying finite state machines, applying mathematical logic, constructing proofs, defining functions, manipulating sets, using recursion",manipulating sets,14
