job_id,skills
job_5,"using golang, using java, using spring boot, using jpa/hibernate, using c++, using c, writing perl, writing ksh, using rest, using soap, using grpc, designing apis, writing sql, applying object-oriented design, applying service-oriented architecture, using unix, using shell scripting, using cloud platforms, using service mesh, using containers"
job_6,"java, testing mobile applications, using mobile cloud platforms (e.g., seetest), using mobile development/emulator packages (e.g., android sdk, ios xcode, swift, calabash, appium, genymotion), using mobile test management packages (e.g., perfecto, experitest-seetest, mobilelabs, saucelabs), accessibility testing, http, xml, rest, html, implementing ci/cd, using jenkins, api testing, using jmeter"
job_7,"using html, using css, using javascript, using react, using angular, using git, using unix, using linux, writing shell scripts"
job_8,"javascript, react, html, css, git"
job_9,"javascript, html, css, manipulating dom, using browser apis, implementing ui components, connecting to apis, sql, visualizing data"
job_10,"using java, multithreaded programming, using aws, using kinesis, using rds, using ec2, rest api development, performance testing, jvm tuning, bash scripting, sql, groovy scripting"
job_11,"java, spring, messaging, sql, mysql, redis, kafka, snowflake, jira, bitbucket, bamboo, github copilot, aws"
job_12,"java, javascript, xquery, python, html, sql, using marklogic, applying agile development, designing information systems, programming database applications"
job_13,"kotlin, java, android sdk, consuming rest apis, mentoring junior developers, writing unit tests, writing ui tests, debugging, software architecture"
job_14,"kotlin, android development, implementing apis, using aws, using git, writing unit tests, applying ci/cd, using terraform"
job_15,"using kotlin, using java, using android sdk, applying material design, using restful apis, using git, using gradle, writing unit tests, optimizing app performance, managing sqlite databases"
job_16,"splunk, conducting investigations, insider threat analysis, risk management, developing processes, governance, threat hunting"
job_17,"using crm, managing sales pipelines, email marketing, social media marketing, customer onboarding"
job_18,"analyzing network traffic, implementing data loss prevention (dlp), using threat intelligence platforms, conducting vulnerability assessments, managing security information and event management (siem) systems, configuring firewalls, encrypting data, performing penetration testing, applying data privacy regulations (hipaa, gdpr, ccpa)"
job_19,"developing mobile apps, flutter, dart, consuming restful apis, git, android development, ios development, web development"
job_20,"using flutter, programming in dart, using provider/riverpod/bloc, integrating restful apis, integrating third-party libraries, using git, using ci/cd pipelines, performing automated testing"
job_21,"flutter, bloc, ai integration, dart, integrating apis, performance optimization, mobile development, ios development, android development"
job_22,"object-oriented programming, python, scripting, software development life cycle, requirements gathering, deploying, testing, automating"
job_23,"using javascript, developing react, developing apis, using aws or azure, using git, using jira, developing microservices, using containers, using opengl, developing databases"
job_24,"java, agile development, scripting, software development, code maintenance, system analysis, software testing"
>>>>>>> f982469be23ee3d4f0d449f21a972ed4d29819d7
