id,course_name,provider,description,course_status,pricing,duration_in_hours,rating,reviews,best_of_all_time,url
36,Creating Discord's CSS-Only Search Input Animation Tutorial,YouTube,"Master the creation of Discord's elegant search input animation using pure CSS, including width transitions and icon transformations for an enhanced user interface.",On-Demand,Free Video,0.3,0,0,0,https://www.classcentral.com/classroom/youtube-discord-made-the-coolest-css-only-input-animation-410452
37,Understanding Flexbox Alignment - Main and Cross Axis Explained,YouTube,"Demystifies flexbox alignment, explaining main and cross-axis concepts, flex-direction changes, and practical tips for effective CSS layout using justify-content and align-items.",On-Demand,Free Video,0.233333333,0,0,0,https://www.classcentral.com/classroom/youtube-the-easy-way-to-understand-flexbox-alignment-308330
38,Pure CSS Scroll Spy Table of Contents - No JavaScript Required,YouTube,Master the creation of JavaScript-free scroll spy navigation using pure CSS techniques to build dynamic table of contents that automatically track user position on webpages.,On-Demand,Free Video,0.683333333,0,0,0,https://www.classcentral.com/classroom/youtube-pure-css-scroll-spy-table-of-contents-no-javascript-required-422959
39,Mastering CSS Colors: From Color Gamuts to Advanced Color Functions,YouTube,"Master advanced CSS color techniques, from color spaces and gamuts to relative colors and color mixing functions. Elevate your styling capabilities with modern color manipulation methods.",On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-how-to-handle-css-colors-like-a-senior-dev-413218
40,Creating Overlapping Website Sections with CSS - Box Shadow and Gradient Methods,YouTube,Master CSS techniques for creating overlapping website sections using box-shadow and gradient methods in this practical web design tutorial.,On-Demand,Free Video,0.183333333,0,0,0,https://www.classcentral.com/classroom/youtube-easily-create-overlapping-sections-on-a-website-417487
41,Creating a Focus by Negation Effect with CSS - Animation Tutorial,YouTube,"Master CSS animation techniques to create an engaging ""focus by negation"" effect, exploring scaling, springiness, mobile optimization, and transform properties for dynamic user interactions.",On-Demand,Free Video,0.533333333,0,0,0,https://www.classcentral.com/classroom/youtube-create-a-super-fun-focus-by-negation-effect-428545
42,The Most Important CSS Update We've Seen in a Long Time,YouTube,"Explore the groundbreaking ""reading-flow"" CSS feature that enhances grid and flexbox element ordering, with Kevin Powell examining its potential impact and implementation before its official release.",On-Demand,Free Video,2.816666667,0,0,0,https://www.classcentral.com/classroom/youtube-the-most-important-css-update-we-ve-seen-in-a-long-time-454193
43,New CSS Features to Know for 2025,YouTube,"Discover upcoming CSS features for 2025, including custom selects, carousels, mixins, anchor positioning, view transitions, and more, plus newly available and widely supported capabilities.",On-Demand,Free Video,0.55,0,0,0,https://www.classcentral.com/classroom/youtube-new-css-features-to-know-for-2025-445402
44,5 CSS Tips Every Developer Should Know,YouTube,"Discover 5 essential CSS techniques: single-color gradients, user-select property, the all property, masks, and containing blocks for scroll containers, with practical examples and use cases.",On-Demand,Free Video,0.433333333,0,0,0,https://www.classcentral.com/classroom/youtube-5-css-tips-every-developer-should-know-450431
45,Create This Trendy Blurry Glass Effect with CSS,YouTube,"Master the trendy blurry glass effect using CSS backdrop-filter, gradients, and transparency techniques to create modern, elegant UI components.",On-Demand,Free Video,0.316666667,0,0,0,https://www.classcentral.com/classroom/youtube-create-this-trendy-blurry-glass-effect-with-css-459856
46,Spice Up Your Site with Quick and Easy Theme Transitions,YouTube,"Master CSS view transitions to create smooth, engaging theme switches with sliding, bouncing, and circle effects in just 13 minutes.",On-Demand,Free Video,0.216666667,0,0,0,https://www.classcentral.com/classroom/youtube-spice-up-your-site-with-quick-easy-theme-transitions-472229
47,Introduction to Computer Vision,Udacity,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",On-Demand,Free Online Course,2688,4.5,7,0,https://www.classcentral.com/course/udacity-introduction-to-computer-vision-1022
48,AP Computer Science A: Java Programming,edX,"Learn Java programming fundamentals, including variables, selection, and object-oriented design. Develop problem-solving skills and explore computer science concepts relevant to the AP Computer Science A exam.",On-Demand,Free Online Course (Audit),63,0,0,0,https://www.classcentral.com/course/java-purdue-university-ap-computer-science-a-java-6541
49,Machine Learning with Python,Coursera,"Dive into Machine Learning with Python, covering supervised and unsupervised learning, regression, classification, and clustering. Gain hands-on experience using SciPy and scikit-learn libraries.",On-Demand,Free Online Course (Audit),20.03333333,0,17601,0,https://www.classcentral.com/course/machine-learning-with-python-11714
50,System Administration and IT Infrastructure Services,Coursera,"Learn to manage IT infrastructure, cloud resources, servers, and users. Explore disaster recovery, backup strategies, and best practices for hardware and service selection. Gain practical skills for effective systems administration.",On-Demand,Free Online Course (Audit),24.08333333,0,26122,0,https://www.classcentral.com/course/system-administration-it-infrastructure--10219
51,The Web Developer Bootcamp 2025,Udemy,Udemy,On-Demand,Paid Course,74.11666667,0,281720,0,https://www.classcentral.com/course/udemy-the-web-developer-bootcamp-25316
52,Python - Intro to Computer Science - Harvard's CS50 (2018),freeCodeCamp,freeCodeCamp,On-Demand,Free Video,1.5,4.5,2,0,https://www.classcentral.com/classroom/freecodecamp-python-intro-to-computer-science-harvard-s-cs50-2018-105071
53,Advanced Operating Systems,Udacity,"In this course, we will see all the advances that have led to the state-of-the-art operating system that we know today, covering variety of platforms -- cell phones, multi-core, parallel systems, distributed systems, and cloud computing.",On-Demand,Free Online Course,840,5,6,0,https://www.classcentral.com/course/udacity-advanced-operating-systems-1016
54,Introducción a la programación en C: Instrucciones de control y ficheros de texto,edX,"En este curso aprenderás sobre condicionales, bucles y ficheros de texto en el lenguaje de programación C, uno de los más utilizados.",On-Demand,Free Online Course (Audit),20,4.5,7,0,https://www.classcentral.com/course/c-programming-universidad-autonoma-de-madrid-intr-12157
55,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",Udemy,Udemy,On-Demand,Paid Course,42.75,0,197874,0,https://www.classcentral.com/course/udemy-machinelearning-23826
56,Linux Command Line Basics,Udacity,Udacity,On-Demand,Free Online Course,168,4,10,0,https://www.classcentral.com/course/udacity-linux-command-line-basics-4049
57,Data Structures - Intro to Computer Science - Harvard's CS50 (2018),freeCodeCamp,freeCodeCamp,On-Demand,Free Video,2.5,5,1,0,https://www.classcentral.com/classroom/freecodecamp-data-structures-intro-to-computer-science-harvard-s-cs50-2018-105073
58,C Programming Language - Intro to Computer Science - Harvard's CS50 (2018),freeCodeCamp,freeCodeCamp,On-Demand,Free Video,2.5,4,1,0,https://www.classcentral.com/classroom/freecodecamp-c-programming-language-intro-to-computer-science-harvard-s-cs50-2018-105076
59,Data Structures and Performance,Coursera,"Explore data structures and algorithms for efficient handling of large datasets. Learn asymptotic analysis, linked lists, trees, and hashtables to improve program performance and flexibility.",On-Demand,Free Online Course (Audit),41.56666667,4,6,0,https://www.classcentral.com/course/data-structures-optimizing-performance-4203
60,Frontend Development Course - Create a Blog with HTML & CSS,freeCodeCamp,freeCodeCamp,On-Demand,Free Video,2.5,4.5,16,0,https://www.classcentral.com/classroom/freecodecamp-frontend-development-course-create-a-blog-with-html-css-104859
61,Behavioral Interview Practice for Computer Science Students,CodeSignal,CodeSignal,On-Demand,Free Certificate,0,0,49,0,https://www.classcentral.com/course/codesignal-behavioral-interview-practice-for-computer-science-students-361289
62,Trial Lessons: Philosophy and Computer Science,edX,"Explore the intersection of philosophy and computer science through seven concise lectures, covering topics from AI governance to robot rights in this unique master's program preview.",On-Demand,Free Online Course (Audit),2.5,0,0,0,https://www.classcentral.com/course/philosophy-ethics-university-of-bayreuth-trial-le-353497
63,Code of Life – When Computer Science Meets Genetics,openHPI,,On-Demand,Free Online Course,1008,0,0,0,https://www.classcentral.com/course/openhpi-code-of-life-when-computer-science-meets-genetics-5151
64,Complete Intro to Computer Science,Frontend Masters,Frontend Masters,On-Demand,Paid Course,8.5,0,0,0,https://www.classcentral.com/course/frontend-masters-complete-intro-to-computer-science-118012
65,SQL - Intro to Computer Science - Harvard's CS50 (2018),freeCodeCamp,freeCodeCamp,On-Demand,Free Video,1.5,0,0,0,https://www.classcentral.com/classroom/freecodecamp-sql-intro-to-computer-science-harvard-s-cs50-2018-105069
66,"HTTP, HTML, CSS - Intro to Computer Science - Harvard's CS50 (2018)",freeCodeCamp,freeCodeCamp,On-Demand,Free Video,1.5,0,0,0,https://www.classcentral.com/classroom/freecodecamp-http-html-css-intro-to-computer-science-harvard-s-cs50-2018-105072
67,Data Structures - Computer Science Course for Beginners,freeCodeCamp,freeCodeCamp,On-Demand,Free Video,2.5,0,0,0,https://www.classcentral.com/classroom/freecodecamp-data-structures-computer-science-course-for-beginners-104990
68,Online Computer Science Degree,Zero To Mastery,Zero To Mastery,On-Demand,Paid Course,280,0,0,0,https://www.classcentral.com/course/zero-to-mastery-online-computer-science-degree-468016
69,Executive Briefing: Artificial Intelligence (AI) + ChatGPT,Udemy,Udemy,On-Demand,Paid Course,2,0,153530,0,https://www.classcentral.com/course/udemy-executive-briefing-artificial-intelligence-38992
70,Introduction to Machine Learning with TensorFlow,Udacity,Introduction to Machine Learning with TensorFlow,On-Demand,Paid Course,1756.4,5,5,0,https://www.classcentral.com/course/udacity-intro-to-machine-learning-with-tensorflow-nanodegree--nd230-18190
71,Machine Learning with Python,freeCodeCamp,freeCodeCamp,On-Demand,Free Certificate,300,4.5,15,0,https://www.classcentral.com/course/freecodecamp-machine-learning-with-python-34068
72,The Complete Prompt Engineering for AI Bootcamp (2025),Udemy,Udemy,On-Demand,Paid Course,22.7,0,72194,0,https://www.classcentral.com/course/udemy-prompt-engineering-for-ai-261279
73,Cybersecurity and Its Ten Domains,Coursera,"Comprehensive introduction to cybersecurity covering ten domains, including governance, compliance, cryptography, network security, and more. Suitable for beginners and professionals seeking foundational knowledge.",On-Demand,Free Online Course (Audit),23.95,3,9,0,https://www.classcentral.com/course/ksucybersec-3206
74,ChatGPT: Complete ChatGPT Course For Work 2025 (Ethically)!,Udemy,Udemy,On-Demand,Paid Course,10.31666667,0,115167,0,https://www.classcentral.com/course/udemy-chatgpt-complete-chatgpt-course-for-work-2023-ethically-chat-gpt-131252
75,Kubernetes for the Absolute Beginners - Hands-on,Udemy,Udemy,On-Demand,Paid Course,6.566666667,0,101770,0,https://www.classcentral.com/course/udemy-learn-kubernetes-25011
76,Curso Completo de Computación con Windows,Udemy,Udemy,On-Demand,Paid Course,27.68333333,0,887,0,https://www.classcentral.com/course/udemy-curso-completo-de-fundamentos-de-computacion-68292
77,Introduction to Service Management with ITIL 4,Udemy,Udemy,On-Demand,Paid Course,1.766666667,0,92823,0,https://www.classcentral.com/course/udemy-service-management-itil-4-23418
78,Ulam Lectures - Cris Moore - Limits of Computers in Science and Society Part 1,YouTube,"Explore computational limits, problem complexity, and algorithmic challenges in science and society. From easy puzzles to impossible problems, delve into the nature of computation and its societal impact.",On-Demand,Free Video,1.433333333,0,0,0,https://www.classcentral.com/classroom/youtube-2018-ulam-lectures-cris-moore-limits-of-computers-in-science-and-society-part-1-142033
79,Berkeley in the 80s - Episode 1- Shafi Goldwasser,YouTube,"Insightful interview with Turing Laureate Shafi Goldwasser, exploring her groundbreaking research in theoretical computer science, interactive proofs, and zero-knowledge protocols at UC Berkeley in the 1980s.",On-Demand,Free Video,0.95,0,0,0,https://www.classcentral.com/classroom/youtube-berkeley-in-the-80s-episode-1-shafi-goldwasser-134617
80,Invariant Theory for Computer Scientists,YouTube,"Explore algebraic methods in computer science, focusing on invariant theory, graph isomorphism, and group actions. Learn about algorithms, moment polytopes, and open problems in the field.",On-Demand,Free Video,1.05,0,0,0,https://www.classcentral.com/classroom/youtube-invariant-theory-for-computer-scientists-134618
81,The Beginners Guide to WordPress Troubleshooting,YouTube,"Learn to troubleshoot common WordPress issues, from broken sites and plugin rollbacks to backend lockouts, CSS problems, redirections, 404 errors, and server issues in this comprehensive guide.",On-Demand,Free Video,0.466666667,0,0,0,https://www.classcentral.com/classroom/youtube-the-beginners-guide-to-wordpress-troubleshooting-140595
82,An Introduction to Boolean Function Analysis - Dor Minzer,YouTube,"Explore Boolean function analysis, covering influences, PCP theory, and hypercontractive inequalities. Gain insights into fundamental concepts and advanced techniques in discrete mathematics and theoretical computer science.",On-Demand,Free Video,1.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-an-introduction-to-boolean-function-analysis-dor-minzer-136900
83,"Turing Lecture 2021 - Abstractions, Their Algorithms, and Their Compilers",YouTube,"Explore computational thinking through abstractions, algorithms, and compilers. Delve into compiler design, large dataset handling, and quantum computation, with insights from renowned computer scientists.",On-Demand,Free Video,1.566666667,0,0,0,https://www.classcentral.com/classroom/youtube-turing-lecture-2021-abstractions-their-algorithms-and-their-compilers-138072
84,A Brief Tour of Proof Complexity - Lower Bounds and Open Problems - Toniann Pitassi,YouTube,"Explore proof complexity, lower bounds, and open problems in computer science and discrete mathematics with insights on proof systems and their limitations.",On-Demand,Free Video,1.766666667,0,0,0,https://www.classcentral.com/classroom/youtube-a-brief-tour-of-proof-complexity-lower-bounds-and-open-problems-toniann-pitassi-136969
85,Introduction to CSS Variables - CSS Custom Properties - Full Tutorial,YouTube,"Comprehensive tutorial on CSS variables, covering creation, overriding, theming, JavaScript integration, and responsiveness. Learn to enhance code efficiency and flexibility in web development.",On-Demand,Free Video,0.516666667,0,0,0,https://www.classcentral.com/classroom/youtube-introduction-to-css-variables-css-custom-properties-full-tutorial-160149
86,It Is Entropy That Counts by Jaikumar Radhakrishnan,YouTube,"Explore Shannon entropy's applications in combinatorics and computer science, including randomized two-party communication complexity and quantum communication complexity of Set Disjointness problem.",On-Demand,Free Video,1.35,0,0,0,https://www.classcentral.com/classroom/youtube-it-is-entropy-that-counts-by-jaikumar-radhakrishnan-180882
87,Getting Started with CSS - CSS Tutorials for Beginners - Learn CSS,YouTube,"Comprehensive introduction to CSS, covering selectors, properties, and styling techniques. Includes practical demonstrations and examples for beginners to create visually appealing web pages.",On-Demand,Free Video,1.133333333,0,0,0,https://www.classcentral.com/classroom/youtube-getting-started-with-css-css-tutorials-for-beginners-learn-css-great-learning-173573
88,Ranking CSS Units from Best to Worst,YouTube,"Comprehensive guide ranking CSS units, exploring absolute, relative, viewport, and container units, with insights on their practical applications and benefits.",On-Demand,Free Video,0.466666667,0,0,0,https://www.classcentral.com/classroom/youtube-ranking-css-units-from-best-to-worst-273475
89,Styling With Attribute Selectors,YouTube,Explore advanced CSS techniques using attribute selectors to enhance styling capabilities and solve complex design challenges efficiently.,On-Demand,Free Video,1.5,0,0,0,https://www.classcentral.com/classroom/youtube-styling-with-attribute-selectors-193243
90,Learn CSS Box Model - Build a Rothko Painting,YouTube,"Explore CSS box model concepts while creating a Rothko-inspired painting, enhancing your web design skills and artistic expression through practical coding exercises.",On-Demand,Free Video,0.4,0,0,0,https://www.classcentral.com/classroom/youtube-learn-css-box-model-build-a-rothko-painting-freecodecamp-curriculum-262080
91,Reverse-Engineering Stripe's Themes with CSS Custom Properties,YouTube,"Learn to create customizable CSS themes using custom properties, inspired by Stripe's design approach. Practical tutorial on building flexible, reusable styles for modern web development.",On-Demand,Free Video,0.666666667,0,0,0,https://www.classcentral.com/classroom/youtube-reverse-engineering-stripe-s-themes-with-css-custom-props-262321
92,CSS Position Property - Tutorial 28,YouTube,"Explore CSS position properties: static, relative, absolute, fixed, and sticky. Learn their applications and effects on element positioning in web layouts.",On-Demand,Free Video,0.4,0,0,0,https://www.classcentral.com/classroom/youtube-css-position-property-sigma-web-development-course-tutorial-28-262322
93,Binary Number Systems and Conversions,YouTube,"Explore the fundamentals of binary, its applications in computing, and how it forms the basis for digital information storage and processing.",On-Demand,Free Video,1.033333333,0,0,0,https://www.classcentral.com/classroom/youtube-binary-259778
94,Learn CSS - Code Marker-Pens With Me,YouTube,"Hands-on CSS tutorial for creating marker-pens, ideal for beginners. Practice fundamental styling techniques while building a fun, interactive project.",On-Demand,Free Video,0.866666667,0,0,0,https://www.classcentral.com/classroom/youtube-learn-css-code-marker-pens-with-me-freecodecamp-curriculum-259976
95,Linear Gradient in CSS - HTML & CSS,YouTube,Learn to create visually appealing linear gradients in CSS using linear-gradient and repeating-linear-gradient functions. Enhance your web design skills with this practical tutorial.,On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-linear-gradient-in-css-gradients-in-css-html-css-linear-gradient-function-in-css-217068
96,Modern CSS Evolution: From Past Practices to Future Trends,YouTube,"Explore CSS evolution, from preprocessors to modern techniques. Learn about influential changes, new features, and future trends in writing efficient and powerful stylesheets.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-that-s-not-how-i-wrote-css-3-years-ago-manuel-matuzovic-css-day-2023-251263
97,Modern CSS for Dynamic Component-Based Architecture,YouTube,"Explore modern CSS techniques for dynamic, component-based web development. Learn theming, responsive layouts, and advanced features for scalable, future-friendly projects with real-world examples.",On-Demand,Free Video,0.933333333,0,0,0,https://www.classcentral.com/classroom/youtube-modern-css-for-dynamic-component-based-architecture-stephanie-eckles-css-day-2023-251267
98,CSS Containers - Understanding and Implementing Container Queries,YouTube,"Comprehensive exploration of CSS Container Queries: from concept to implementation. Learn key differences from media queries, hidden powers, and practical applications in web projects.",On-Demand,Free Video,0.9,0,0,0,https://www.classcentral.com/classroom/youtube-css-containers-what-do-they-know-miriam-suzanne-css-day-2023-251269
99,Why Doesn't CSS Have Scope?,YouTube,"Explore CSS scoping, its necessity, and alternatives. Challenges global CSS, questions stylesheets and frameworks, and draws unexpected parallels with Swedish death metal.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-why-doesn-t-css-have-scope-heydon-pickering-css-day-2023-251271
