DStruc - Data Structures and Algorithms — Covers,"analyzing time and space complexity, applying hash maps and sets, implementing stacks and queues, performing sorting and searching algorithms, using trees and graphs"
GameMath - Applied Math for Games — Teaches collisi,
Info1 - Information Management 1 — Covers databa,"creating er diagrams, designing databases, developing database applications, modeling schemas, writing sql queries"
ADA - Analysis and Design of Algorithms — Focu,"analyzing algorithm complexity, applying divide and conquer strategies, applying dynamic programming, applying greedy algorithms, designing algorithms, solving computational problems"
CompOrg - Computer Organization with Microcontroll,"implementing microcontroller programs, interfacing with peripherals, manipulating memory, programming in assembly, understanding cpu architecture"
Info2 - Information Management 2 — Covers advanc,"implementing database security, managing concurrency, normalizing databases, performing olap operations, using nosql databases"
HCI - Human-Computer Interaction — Covers UX/U,"applying ux principles, conducting usability testing, designing user interfaces, prototyping guis, using ides"
Methods - Research Methods and Writing 101 — Prepa,"conducting qualitative research, conducting quantitative research, defending research proposals, performing literature reviews, writing research proposals"
MobAp - Mobile-Based Application Development — T,"developing mobile apps, implementing mobile analytics, integrating ai into mobile applications, using mobile app development frameworks, using platform-specific mobile development tools"
ProLag - Programming Languages — Comparative stud,"comparing programming languages, defining semantics, implementing syntax, managing memory, using control structures"
"CSSAC - CS Trends, Seminars and Certifications —","applying ai concepts, applying robotics concepts, participating in seminars, preparing for certifications, prototyping projects, researching current computing trends"
InfoAs - Information Assurance and Security — Dis,"analyzing malware, applying security controls, conducting vulnerability assessments, implementing cryptography, managing security policies, performing risk assessments, using intrusion detection/prevention systems"
NETW1 - CCNA: Introduction to Networks — Teaches,"applying cisco standards, configuring cisco devices, implementing tcp/ip, performing subnetting, troubleshooting networks"
BIVIS - Business Intelligence and Visualization,"communicating data insights, creating dashboards, performing data mining, performing data warehousing, using power bi, using tableau, visualizing data"
DatMine - Data Mining and Predictive Analytics usi,
PYTHON - Introduction to Python — Basics of Pytho,"controlling program flow with python, creating web applications with python, defining python functions, developing data-driven applications with python, using python variables, utilizing python libraries"
SAD - Systems Analysis and Design — Covers met,"applying object-oriented modeling principles, conducting feasibility studies, creating data flow diagrams, creating prototypes, developing use cases, performing requirements elicitation, using systems development life cycle models"
OOPro - Object-Oriented Programming — Introduces,"applying encapsulation, applying object-oriented programming principles, applying polymorphism, building compositions, designing systems, implementing inheritance, using classes, using java"
SofEng - Software Engineering — Covers the full s,"applying uml, defining software requirements, maintaining software, managing software projects, modeling software, performing quality assurance, testing software"
"Math3DS - Discrete Structures — Covers logic, sets","analyzing relations, applying mathematical logic, constructing proofs, defining functions, implementing finite state machines, manipulating sets, using recursion"
Techno - Technopreneurship — Combines tech innova,"applying design thinking, conducting market research, creating minimum viable products, developing business models, pitching startup ideas"
Automata - Automata Theory and Formal Languages — I,"analyzing computational complexity, applying formal language theory, constructing context-free grammars, designing finite automata, using turing machines"
CloudApp - Cloud-Based Application Development — Fo,"deploying cloud-integrated apps, designing cloud-based applications, integrating cloud services, managing cloud resources, using cloud apis, using mobile technologies, using web technologies"
Thesis1 - Thesis 1 — Students propose and plan com,"applying machine learning algorithms, conducting data analysis, designing ai models, implementing data science solutions, presenting research findings, writing technical proposals"
WebDev - Web Development Technologies — Covers fr,"applying version control, deploying web systems, implementing ai components, integrating analytics tools, using modern web frameworks"
SocPro - Social Issues and Professional Practice,"analyzing security risks, applying ethical frameworks to computing, evaluating societal impacts of technology, implementing security best practices, interpreting legal frameworks related to technology"
OS - Operating Systems — Teaches concepts lik,"implementing security protocols, implementing virtual memory, managing memory, managing processes, synchronizing processes, using file systems"
THESIS 2 - Thesis 2 — Students develop and deploy t,"deploying ai systems, managing live deployments, performing qa testing, writing documentation"
Internship - Internship — 324-hour industry immersion,"applying ai algorithms, building ai models, creating game assets, developing games, managing game projects, performing data analysis, using analytics tools"
ML - Machine Learning — Introduces ML algorit,"applying reinforcement learning, applying supervised learning techniques, applying unsupervised learning techniques, building neural networks, implementing machine learning algorithms, using python, using r, using support vector machines"
AI - Artificial Intelligence — Covers AI prob,"analyzing data, applying search algorithms, implementing machine learning techniques, representing knowledge, solving ai problems"
GameProg1 - Intro to Game Design and Development — C,"creating interactive experiences, designing game mechanics, developing gameplay, implementing game logic, using game engines, writing game design documentation"
GameProg 2 - Advanced Game Design and Development — U,"designing 2d games, developing game interactivity, implementing game audio, scripting with c#, using unity, using unreal"
GameTech - Game Technologies — Explores APIs for VR,
GAMEAI - AI for Games — Applies AI to NPCs and ga,"applying machine learning models, designing decision-making systems, implementing pathfinding algorithms, integrating ai into gameplay, scripting ai behaviors, using procedural content generation, working with game engines"
=======
>>>>>>> f982469be23ee3d4f0d449f21a972ed4d29819d7
